Generation,Champion Accounts,Champion Uniques,Average Accounts,Average Uniques,Total Accounts,Total Uniques
49,41,23,1.28900116420526,13.23,74.9977930826399,4209
50,41,23,1.27146211240454,14.14,75.7483448119799,4233
51,41,23,1.12760463309405,10.55,66.5612586089849,4245
52,41,23,0.869575321869524,14.69,72.4209439567387,4272
53,41,23,0.878129286416438,9.47,61.815707967554,4282
54,41,23,0.823582224676749,14.85,62.1117809756655,4303
55,41,23,0.792013292580582,9.44,59.3338357317491,4317
56,41,23,0.765601787554926,15.68,61.7503767988119,4339
57,41,23,0.966164505274863,10.03,64.3127825991089,4360
58,41,23,0.876804908250735,14.9,64.7345869493317,4381
59,41,23,0.753075772541384,9.06,62.8009402119988,4393
60,41,23,0.661490824139022,15.51,58.3507051589991,4407
61,41,23,0.764931042095407,9.25,55.7630288692493,4423
62,41,23,0.706161676767948,15.5,62.072271651937,4444
63,41,23,0.977586810695299,16.34,66.0542037389527,4465
64,41,23,1.07870938196317,16.22,70.5406528042145,4482
65,41,23,1.11849001968373,16.07,67.9054896031609,4500
66,41,23,1.09717060764958,13.72,69.6791172023707,4522
67,41,23,1.1618888777543,17.38,72.509337901778,4549
68,41,23,1.11489881898901,13.71,65.6320034263335,4562
69,41,23,1.08520501628959,15.11,59.7240025697501,4576
70,41,23,0.762906657990124,13.13,55.2930019273126,4584
71,41,23,0.927200853764277,16.01,54.2197514454844,4601
72,41,23,1.02682763574712,14.16,53.4148135841133,4615
73,41,23,0.921203682056155,13.85,44.561110188085,4621
74,41,23,1.05352544309071,12.23,39.4208326410638,4629
75,41,23,1.01700014530287,12.03,36.3156244807978,4638
76,41,23,1.06285509888037,13.03,41.4867183605984,4656
77,41,23,1.06975246413171,6.9,34.1150387704488,4660
78,41,23,0.854583593013529,13.62,36.8362790778366,4673
79,41,23,0.97829848293684,13.7,37.3772093083774,4686
80,41,23,0.952267761055081,12.72,37.0329069812831,4697
81,41,23,0.926968476079688,9.61,31.5246802359623,4702
82,41,23,0.910896019719921,14.35,32.6435101769717,4712
83,41,23,0.919386975538512,9.66,27.4826326327288,4716
84,41,23,0.84105180063418,10.1,25.1119744745466,4722
85,41,23,0.800048850153293,14.09,25.58398085591,4731
86,41,23,0.9599947544378,14.23,32.6879856419325,4745
87,41,23,0.965365264678067,14.77,36.5159892314493,4760
88,41,23,0.847852762060423,12.1,32.636991923587,4767
89,41,23,0.805709809358882,13.69,36.4777439426903,4783
90,41,23,0.797080400863576,8.76,30.3583079570177,4786
91,41,23,0.856037677819436,13.46,34.7687309677633,4801
92,41,23,0.837078343813113,9.96,29.8265482258225,4806
93,41,23,0.738239176315029,13.33,33.6199111693668,4820
94,41,23,0.898790739753993,15.36,37.9649333770251,4834
95,41,23,0.850182585394262,14.63,33.7237000327688,4841
96,41,23,0.905967439639616,15.2,35.0427750245766,4852
97,41,23,0.879542328090108,13.97,34.5320812684325,4863
98,41,23,0.875871105161025,14.46,33.3990609513244,4873
99,41,23,0.753727985777296,12.81,31.0492957134933,4881
100,41,23,0.835456796420879,14.55,30.78697178512,4889
101,41,23,0.823934919470885,14.72,27.59022883884,4895
102,41,23,0.84716401931673,13.34,27.44267162913,4903
103,41,23,0.825979268617894,12.62,27.3320037218475,4912
104,41,23,0.764232559226794,13.35,27.2490027913856,4921
105,41,23,0.864326529566469,13.38,29.4367520935392,4932
106,41,23,0.783202275095245,10.71,24.3275640701544,4935
107,41,23,0.704432748402804,15.43,25.7456730526158,4944
108,41,23,0.641386828761266,8.74,23.0592547894619,4949
109,41,23,0.537017624196771,14.36,23.2944410920964,4957
110,41,23,0.576763204776941,11.17,20.4708308190723,4961
111,41,23,0.619017503843887,15.61,25.1031231143042,4972
112,41,23,0.593239611898281,8.1,20.3273423357282,4974
113,41,23,0.641321689713071,16.2,23.4955067517961,4985
114,41,23,0.760682768609646,12.13,27.3716300638471,4996
115,41,23,0.713058511015961,11.16,25.7787225478853,5003
116,41,23,0.632479581407368,14.67,24.584041910914,5010
117,41,23,0.702568528290756,14.68,28.1880314331855,5022
118,41,23,0.682282311107574,13.3,22.6410235748891,5024
119,41,23,0.752600104334754,14.8,27.4807676811668,5035
120,41,23,0.775197978561281,14.12,28.1105757608751,5045
121,41,23,0.766683172715365,10.55,25.5829318206563,5050
122,41,23,0.751719528298852,13.66,25.1871988654923,5057
123,41,23,0.655974589058987,12.76,25.6403991491192,5066
124,41,23,0.670952190134206,14.89,22.9802993618394,5070
125,41,23,0.712337919866969,14.01,21.7352245213795,5076
126,41,23,0.735524351248226,14.34,19.3014183910347,5080
127,41,23,0.716523657326353,12.98,16.726063793276,5083
